
,Head,Body,Apple,Left,Right,Forward
0,"[10, 10]","[[10, 10]]","[2, 9]",0,0,1
0,"[11, 10]","[[11, 10]]","[2, 9]",0,0,1
0,"[12, 10]","[[12, 10]]","[2, 9]",0,0,1
0,"[13, 10]","[[13, 10]]","[2, 9]",0,0,1
0,"[14, 10]","[[14, 10]]","[2, 9]",0,0,1
0,"[15, 10]","[[15, 10]]","[2, 9]",0,1,0
0,"[15, 10]","[[15, 10]]","[2, 9]",0,0,1
0,"[15, 11]","[[15, 11]]","[2, 9]",0,0,1
0,"[15, 12]","[[15, 12]]","[2, 9]",0,1,0
0,"[15, 12]","[[15, 12]]","[2, 9]",0,0,1
0,"[14, 12]","[[14, 12]]","[2, 9]",0,0,1
0,"[13, 12]","[[13, 12]]","[2, 9]",0,0,1
0,"[12, 12]","[[12, 12]]","[2, 9]",0,0,1
0,"[11, 12]","[[11, 12]]","[2, 9]",0,0,1
0,"[10, 12]","[[10, 12]]","[2, 9]",0,0,1
0,"[9, 12]","[[9, 12]]","[2, 9]",0,0,1
0,"[8, 12]","[[8, 12]]","[2, 9]",0,0,1
0,"[7, 12]","[[7, 12]]","[2, 9]",0,0,1
0,"[6, 12]","[[6, 12]]","[2, 9]",0,0,1
0,"[5, 12]","[[5, 12]]","[2, 9]",0,0,1
0,"[4, 12]","[[4, 12]]","[2, 9]",0,0,1
0,"[3, 12]","[[3, 12]]","[2, 9]",0,0,1
0,"[2, 12]","[[2, 12]]","[2, 9]",0,1,0
0,"[2, 12]","[[2, 12]]","[2, 9]",0,0,1
0,"[2, 11]","[[2, 11]]","[2, 9]",0,0,1
0,"[2, 10]","[[2, 10]]","[2, 9]",0,0,1
0,"[2, 9]","[[2, 10], [2, 9]]","[3, 13]",0,0,1
0,"[2, 8]","[[2, 9], [2, 8]]","[3, 13]",0,0,1
0,"[2, 7]","[[2, 8], [2, 7]]","[3, 13]",0,1,0
0,"[2, 7]","[[2, 8], [2, 7]]","[3, 13]",0,0,1
0,"[3, 7]","[[2, 7], [3, 7]]","[3, 13]",0,1,0
0,"[3, 7]","[[2, 7], [3, 7]]","[3, 13]",0,0,1
0,"[3, 8]","[[3, 7], [3, 8]]","[3, 13]",0,0,1
0,"[3, 9]","[[3, 8], [3, 9]]","[3, 13]",0,0,1
0,"[3, 10]","[[3, 9], [3, 10]]","[3, 13]",0,0,1
0,"[3, 11]","[[3, 10], [3, 11]]","[3, 13]",0,0,1
0,"[3, 12]","[[3, 11], [3, 12]]","[3, 13]",0,0,1
0,"[3, 13]","[[3, 11], [3, 12], [3, 13]]","[7, 5]",0,0,1
0,"[3, 14]","[[3, 12], [3, 13], [3, 14]]","[7, 5]",1,0,0
0,"[3, 14]","[[3, 12], [3, 13], [3, 14]]","[7, 5]",0,0,1
0,"[4, 14]","[[3, 13], [3, 14], [4, 14]]","[7, 5]",0,0,1
0,"[5, 14]","[[3, 14], [4, 14], [5, 14]]","[7, 5]",0,0,1
0,"[6, 14]","[[4, 14], [5, 14], [6, 14]]","[7, 5]",1,0,0
0,"[6, 14]","[[4, 14], [5, 14], [6, 14]]","[7, 5]",0,0,1
0,"[6, 13]","[[5, 14], [6, 14], [6, 13]]","[7, 5]",0,0,1
0,"[6, 12]","[[6, 14], [6, 13], [6, 12]]","[7, 5]",0,0,1
0,"[6, 11]","[[6, 13], [6, 12], [6, 11]]","[7, 5]",0,0,1
0,"[6, 10]","[[6, 12], [6, 11], [6, 10]]","[7, 5]",0,0,1
0,"[6, 9]","[[6, 11], [6, 10], [6, 9]]","[7, 5]",0,0,1
0,"[6, 8]","[[6, 10], [6, 9], [6, 8]]","[7, 5]",0,0,1
0,"[6, 7]","[[6, 9], [6, 8], [6, 7]]","[7, 5]",0,0,1
0,"[6, 6]","[[6, 8], [6, 7], [6, 6]]","[7, 5]",0,0,1
0,"[6, 5]","[[6, 7], [6, 6], [6, 5]]","[7, 5]",0,1,0
0,"[6, 5]","[[6, 7], [6, 6], [6, 5]]","[7, 5]",0,0,1
0,"[7, 5]","[[6, 7], [6, 6], [6, 5], [7, 5]]","[2, 6]",0,0,1
0,"[8, 5]","[[6, 6], [6, 5], [7, 5], [8, 5]]","[2, 6]",0,0,1
0,"[9, 5]","[[6, 5], [7, 5], [8, 5], [9, 5]]","[2, 6]",0,1,0
0,"[9, 5]","[[6, 5], [7, 5], [8, 5], [9, 5]]","[2, 6]",0,0,1
0,"[9, 6]","[[7, 5], [8, 5], [9, 5], [9, 6]]","[2, 6]",0,1,0
0,"[9, 6]","[[7, 5], [8, 5], [9, 5], [9, 6]]","[2, 6]",0,0,1
0,"[8, 6]","[[8, 5], [9, 5], [9, 6], [8, 6]]","[2, 6]",0,0,1
0,"[7, 6]","[[9, 5], [9, 6], [8, 6], [7, 6]]","[2, 6]",0,0,1
0,"[6, 6]","[[9, 6], [8, 6], [7, 6], [6, 6]]","[2, 6]",0,0,1
0,"[5, 6]","[[8, 6], [7, 6], [6, 6], [5, 6]]","[2, 6]",0,0,1
0,"[4, 6]","[[7, 6], [6, 6], [5, 6], [4, 6]]","[2, 6]",0,0,1
0,"[3, 6]","[[6, 6], [5, 6], [4, 6], [3, 6]]","[2, 6]",0,0,1
0,"[2, 6]","[[6, 6], [5, 6], [4, 6], [3, 6], [2, 6]]","[14, 15]",1,0,0
0,"[2, 6]","[[6, 6], [5, 6], [4, 6], [3, 6], [2, 6]]","[14, 15]",0,0,1
0,"[2, 7]","[[5, 6], [4, 6], [3, 6], [2, 6], [2, 7]]","[14, 15]",0,0,1
0,"[2, 8]","[[4, 6], [3, 6], [2, 6], [2, 7], [2, 8]]","[14, 15]",0,0,1
0,"[2, 9]","[[3, 6], [2, 6], [2, 7], [2, 8], [2, 9]]","[14, 15]",0,0,1
