steps,apple_score,score,size,path_finder,poly_features,all_data,nb_parameter
123,9,777,10,a_star,False,True,50
65,4,335,10,a_star,False,True,50
469,18,1331,10,a_star,False,True,50
367,18,1433,10,a_star,False,True,50
131,8,669,10,a_star,False,True,50
135,8,665,10,a_star,False,True,50
183,10,817,10,a_star,False,True,50
221,14,1179,10,a_star,False,True,50
149,8,651,10,a_star,False,True,50
145,12,1055,10,a_star,False,True,50
117,8,683,10,a_star,False,True,50
117,10,883,10,a_star,False,True,50
129,8,671,10,a_star,False,True,50
237,14,1163,10,a_star,False,True,50
99,7,601,10,a_star,False,True,50
121,10,879,10,a_star,False,True,50
225,11,875,10,a_star,False,True,50
241,11,859,10,a_star,False,True,50
323,16,1277,10,a_star,False,True,50
157,9,743,10,a_star,False,True,50
147,8,653,10,a_star,False,True,50
67,7,633,10,a_star,False,True,50
65,4,335,10,a_star,False,True,50
399,18,1401,10,a_star,False,True,50
211,14,1189,10,a_star,False,True,50
189,14,1211,10,a_star,False,True,50
207,15,1293,10,a_star,False,True,50
223,11,877,10,a_star,False,True,50
79,4,321,10,a_star,False,True,50
283,17,1417,10,a_star,False,True,50
99,8,701,10,a_star,False,True,50
203,15,1297,10,a_star,False,True,50
119,7,581,10,a_star,False,True,50
105,9,795,10,a_star,False,True,50
97,6,503,10,a_star,False,True,50
263,14,1137,10,a_star,False,True,50
135,12,1065,10,a_star,False,True,50
239,12,961,10,a_star,False,True,50
207,11,893,10,a_star,False,True,50
191,11,909,10,a_star,False,True,50
155,9,745,10,a_star,False,True,50
383,17,1317,10,a_star,False,True,50
137,10,863,10,a_star,False,True,50
305,14,1095,10,a_star,False,True,50
141,10,859,10,a_star,False,True,50
143,9,757,10,a_star,False,True,50
135,10,865,10,a_star,False,True,50
403,15,1097,10,a_star,False,True,50
219,15,1281,10,a_star,False,True,50
339,16,1261,10,a_star,False,True,50
171,8,629,10,a_star,False,True,50
85,8,715,10,a_star,False,True,50
281,14,1119,10,a_star,False,True,50
241,13,1059,10,a_star,False,True,50
179,9,721,10,a_star,False,True,50
189,9,711,10,a_star,False,True,50
345,17,1355,10,a_star,False,True,50
183,10,817,10,a_star,False,True,50
217,13,1083,10,a_star,False,True,50
345,16,1255,10,a_star,False,True,50
215,10,785,10,a_star,False,True,50
407,15,1093,10,a_star,False,True,50
147,11,953,10,a_star,False,True,50
519,21,1581,10,a_star,False,True,50
73,8,727,10,a_star,False,True,50
261,17,1439,10,a_star,False,True,50
77,7,623,10,a_star,False,True,50
125,9,775,10,a_star,False,True,50
319,21,1781,10,a_star,False,True,50
301,17,1399,10,a_star,False,True,50
175,12,1025,10,a_star,False,True,50
137,8,663,10,a_star,False,True,50
193,11,907,10,a_star,False,True,50
209,14,1191,10,a_star,False,True,50
361,15,1139,10,a_star,False,True,50
173,12,1027,10,a_star,False,True,50
221,12,979,10,a_star,False,True,50
359,17,1341,10,a_star,False,True,50
71,8,729,10,a_star,False,True,50
305,16,1295,10,a_star,False,True,50
109,7,591,10,a_star,False,True,50
355,16,1245,10,a_star,False,True,50
145,10,855,10,a_star,False,True,50
185,11,915,10,a_star,False,True,50
395,16,1205,10,a_star,False,True,50
175,8,625,10,a_star,False,True,50
107,9,793,10,a_star,False,True,50
393,19,1507,10,a_star,False,True,50
31,4,369,10,a_star,False,True,50
229,10,771,10,a_star,False,True,50
269,13,1031,10,a_star,False,True,50
193,10,807,10,a_star,False,True,50
337,17,1363,10,a_star,False,True,50
263,13,1037,10,a_star,False,True,50
195,9,705,10,a_star,False,True,50
97,6,503,10,a_star,False,True,50
103,8,697,10,a_star,False,True,50
175,9,725,10,a_star,False,True,50
299,16,1301,10,a_star,False,True,50
173,9,727,10,a_star,False,True,50
193,12,1007,10,greedy,False,True,50
145,11,955,10,greedy,False,True,50
85,5,415,10,greedy,False,True,50
249,15,1251,10,greedy,False,True,50
159,13,1141,10,greedy,False,True,50
63,4,337,10,greedy,False,True,50
219,15,1281,10,greedy,False,True,50
71,6,529,10,greedy,False,True,50
211,16,1389,10,greedy,False,True,50
301,17,1399,10,greedy,False,True,50
169,12,1031,10,greedy,False,True,50
203,14,1197,10,greedy,False,True,50
77,7,623,10,greedy,False,True,50
61,6,539,10,greedy,False,True,50
115,9,785,10,greedy,False,True,50
113,10,887,10,greedy,False,True,50
211,14,1189,10,greedy,False,True,50
181,13,1119,10,greedy,False,True,50
187,11,913,10,greedy,False,True,50
229,14,1171,10,greedy,False,True,50
127,10,873,10,greedy,False,True,50
99,9,801,10,greedy,False,True,50
