steps,apple_score,score,size,path_finder,poly_features,all_data,nb_parameter
275,19,575,10,a_star,False,True,50
219,15,431,10,a_star,False,True,50
59,4,41,10,a_star,False,True,50
63,4,37,10,a_star,False,True,50
67,4,33,10,a_star,False,True,50
143,8,157,10,a_star,False,True,50
61,5,89,10,a_star,False,True,50
397,23,653,10,a_star,False,True,50
37,3,13,10,a_star,False,True,50
181,16,519,10,a_star,False,True,50
297,15,353,10,a_star,False,True,50
105,7,145,10,a_star,False,True,50
91,7,159,10,a_star,False,True,50
75,6,125,10,a_star,False,True,50
245,16,455,10,a_star,False,True,50
205,15,445,10,a_star,False,True,50
31,4,69,10,a_star,False,True,50
63,6,137,10,a_star,False,True,50
87,7,163,10,a_star,False,True,50
103,9,247,10,a_star,False,True,50
121,8,179,10,a_star,False,True,50
71,5,79,10,a_star,False,True,50
171,8,129,10,a_star,False,True,50
59,4,41,10,a_star,False,True,50
141,13,409,10,a_star,False,True,50
69,4,31,10,a_star,False,True,50
61,4,39,10,a_star,False,True,50
219,12,281,10,a_star,False,True,50
41,4,59,10,a_star,False,True,50
151,10,249,10,a_star,False,True,50
251,16,449,10,a_star,False,True,50
93,7,157,10,a_star,False,True,50
51,4,49,10,a_star,False,True,50
79,7,171,10,a_star,False,True,50
55,4,45,10,a_star,False,True,50
81,8,219,10,a_star,False,True,50
47,4,53,10,a_star,False,True,50
83,5,67,10,a_star,False,True,50
239,16,461,10,a_star,False,True,50
133,9,217,10,a_star,False,True,50
211,14,389,10,a_star,False,True,50
139,11,311,10,a_star,False,True,50
213,12,287,10,a_star,False,True,50
243,18,557,10,a_star,False,True,50
75,6,125,10,a_star,False,True,50
77,5,73,10,a_star,False,True,50
253,19,597,10,a_star,False,True,50
289,21,661,10,a_star,False,True,50
343,22,657,10,a_star,False,True,50
145,10,255,10,a_star,False,True,50
87,9,263,10,a_star,False,True,50
169,11,281,10,a_star,False,True,50
279,18,521,10,a_star,False,True,50
89,6,111,10,a_star,False,True,50
121,8,179,10,a_star,False,True,50
165,12,335,10,a_star,False,True,50
227,15,423,10,a_star,False,True,50
