steps,apple_score,score,size,path_finder,poly_features,all_data,nb_parameter
1001,2,-1001,10,greedy,False,True,20
63,3,-13,10,greedy,False,True,20
31,1,-81,10,greedy,False,True,20
67,7,183,10,greedy,False,True,20
63,4,37,10,greedy,False,True,20
111,10,289,10,greedy,False,True,20
87,5,63,10,greedy,False,True,20
75,3,-25,10,greedy,False,True,20
1001,1,-1051,10,greedy,False,True,20
77,5,73,10,greedy,False,True,20
181,10,219,10,greedy,False,True,20
55,4,45,10,greedy,False,True,20
93,6,107,10,greedy,False,True,20
269,17,481,10,greedy,False,True,20
89,5,61,10,greedy,False,True,20
89,8,211,10,greedy,False,True,20
147,9,203,10,greedy,False,True,20
139,9,211,10,greedy,False,True,20
87,6,113,10,greedy,False,True,20
61,4,39,10,greedy,False,True,20
161,12,339,10,greedy,False,True,20
203,10,197,10,greedy,False,True,20
29,1,-79,10,greedy,False,True,20
75,3,-25,10,greedy,False,True,20
141,8,159,10,greedy,False,True,20
159,7,91,10,greedy,False,True,20
69,4,31,10,greedy,False,True,20
221,12,279,10,greedy,False,True,20
193,11,257,10,greedy,False,True,20
71,5,79,10,greedy,False,True,20
21,1,-71,10,greedy,False,True,20
43,4,57,10,greedy,False,True,20
53,4,47,10,greedy,False,True,20
25,2,-25,10,greedy,False,True,20
99,6,101,10,greedy,False,True,20
111,8,189,10,greedy,False,True,20
159,9,191,10,greedy,False,True,20
169,10,231,10,greedy,False,True,20
53,6,147,10,greedy,False,True,20
229,15,421,10,greedy,False,True,20
103,6,97,10,greedy,False,True,20
121,8,179,10,greedy,False,True,20
17,1,-67,10,greedy,False,True,20
109,6,91,10,greedy,False,True,20
47,2,-47,10,greedy,False,True,20
63,7,187,10,greedy,False,True,20
63,5,87,10,greedy,False,True,20
27,1,-77,10,greedy,False,True,20
75,4,25,10,greedy,False,True,20
85,4,15,10,greedy,False,True,20
9,1,-59,10,greedy,False,True,20
67,5,83,10,greedy,False,True,20
25,1,-75,10,greedy,False,True,20
151,10,249,10,greedy,False,True,20
111,8,189,10,greedy,False,True,20
123,9,227,10,greedy,False,True,20
1001,4,-901,10,greedy,False,True,20
111,5,39,10,greedy,False,True,20
93,4,7,10,greedy,False,True,20
51,2,-51,10,greedy,False,True,20
1001,1,-1051,10,greedy,False,True,20
39,1,-89,10,greedy,False,True,20
109,6,91,10,greedy,False,True,20
1001,1,-1051,10,greedy,False,True,20
71,3,-21,10,greedy,False,True,20
209,12,291,10,greedy,False,True,20
179,13,371,10,greedy,False,True,20
191,11,259,10,greedy,False,True,20
177,10,223,10,greedy,False,True,20
215,13,335,10,greedy,False,True,20
39,3,11,10,greedy,False,True,20
107,5,43,10,greedy,False,True,20
89,6,111,10,greedy,False,True,20
107,5,43,10,greedy,False,True,20
33,1,-83,10,greedy,False,True,20
267,15,383,10,greedy,False,True,20
127,8,173,10,greedy,False,True,20
105,5,45,10,greedy,False,True,20
119,6,81,10,greedy,False,True,20
83,6,117,10,greedy,False,True,20
51,5,99,10,greedy,False,True,20
87,5,63,10,greedy,False,True,20
55,4,45,10,greedy,False,True,20
65,6,135,10,greedy,False,True,20
63,6,137,10,greedy,False,True,20
39,4,61,10,greedy,False,True,20
35,1,-85,10,greedy,False,True,20
69,5,81,10,greedy,False,True,20
33,1,-83,10,greedy,False,True,20
179,13,371,10,greedy,False,True,20
101,7,149,10,greedy,False,True,20
79,5,71,10,greedy,False,True,20
163,12,337,10,greedy,False,True,20
61,5,89,10,greedy,False,True,20
31,2,-31,10,greedy,False,True,20
149,9,201,10,greedy,False,True,20
99,6,101,10,greedy,False,True,20
33,1,-83,10,greedy,False,True,20
95,7,155,10,greedy,False,True,20
95,6,105,10,greedy,False,True,20
27,2,-27,10,greedy,False,True,50
59,2,-59,10,greedy,False,True,50
85,4,15,10,greedy,False,True,50
89,4,11,10,greedy,False,True,50
1001,1,-1051,10,greedy,False,True,50
101,5,49,10,greedy,False,True,50
59,2,-59,10,greedy,False,True,50
61,4,39,10,greedy,False,True,50
1001,1,-1051,10,greedy,False,True,50
59,4,41,10,greedy,False,True,50
71,4,29,10,greedy,False,True,50
117,6,83,10,greedy,False,True,50
41,2,-41,10,greedy,False,True,50
57,5,93,10,greedy,False,True,50
51,2,-51,10,greedy,False,True,50
63,3,-13,10,greedy,False,True,50
45,5,105,10,greedy,False,True,50
13,1,-63,10,greedy,False,True,50
65,4,35,10,greedy,False,True,50
75,6,125,10,greedy,False,True,50
83,5,67,10,greedy,False,True,50
41,1,-91,10,greedy,False,True,50
57,5,93,10,greedy,False,True,50
97,6,103,10,greedy,False,True,50
41,2,-41,10,greedy,False,True,50
33,1,-83,10,greedy,False,True,50
63,2,-63,10,greedy,False,True,50
53,2,-53,10,greedy,False,True,50
123,6,77,10,greedy,False,True,50
75,2,-75,10,greedy,False,True,50
33,2,-33,10,greedy,False,True,50
39,1,-89,10,greedy,False,True,50
141,6,59,10,greedy,False,True,50
85,4,15,10,greedy,False,True,50
65,4,35,10,greedy,False,True,50
27,2,-27,10,greedy,False,True,50
163,10,237,10,greedy,False,True,50
43,5,107,10,greedy,False,True,50
35,1,-85,10,greedy,False,True,50
45,4,55,10,greedy,False,True,50
79,3,-29,10,greedy,False,True,50
39,2,-39,10,greedy,False,True,50
1001,1,-1051,10,greedy,False,True,50
17,1,-67,10,greedy,False,True,50
59,4,41,10,greedy,False,True,50
43,2,-43,10,greedy,False,True,50
109,7,141,10,greedy,False,True,50
79,2,-79,10,greedy,False,True,50
63,5,87,10,greedy,False,True,50
1001,1,-1051,10,greedy,False,True,50
71,4,29,10,greedy,False,True,50
1001,1,-1051,10,greedy,False,True,50
105,5,45,10,greedy,False,True,50
199,11,251,10,greedy,False,True,50
59,3,-9,10,greedy,False,True,50
47,2,-47,10,greedy,False,True,50
17,1,-67,10,greedy,False,True,50
61,3,-11,10,greedy,False,True,50
63,4,37,10,greedy,False,True,50
71,5,79,10,greedy,False,True,50
35,2,-35,10,greedy,False,True,50
85,3,-35,10,greedy,False,True,50
27,2,-27,10,greedy,False,True,50
41,1,-91,10,greedy,False,True,50
